workerid,rt,color_other,color_target,n_total,response,n_target,slide_number_in_experiment,count,colorblind,language,enjoyment,gender,age,comments,languages,asses,education,OS,screenH,screenW,Browser,feedback,assignments,workerid,creationtime,Answer.condition,deadline,viewhit,keywords,assignmentduration,title,assignmentapprovaltime,Answer.catch_trials,reject,assignmentstatus,hitlifetime,numpending,description,assignmentid,assignmentaccepttime,numavailable,numcomplete,assignmentsubmittime,annotation,reviewstatus,autoapprovaltime,Answer.time_in_minutes,hitstatus,autoapprovaldelay,hittypeid,assignmentrejecttime,reward,hitid
0,7039,black,white,5,"[u'A few', u'Majority', u'']",4,12,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,7736,white,black,10,"[u'Most', u'Several', u'']",3,13,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,3280,black,white,10,"[u'None', u'', u'']",0,14,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,12255,white,black,5,"[u'Five', u'Several', u'All']",5,15,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,6417,black,white,100,"[u'Limited', u'Few', u'Not many']",40,16,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,16274,white,black,25,"[u'More than white', u'More than 10', u'Several']",20,17,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,5302,black,white,5,"[u'None', u'All black', u'']",0,18,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,10152,black,white,10,"[u'Majority', u'More than black', u'Several']",8,19,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,10480,white,black,100,"[u'Lots', u'All over the place', u'Very many']",96,20,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,9287,black,white,25,"[u'Lots', u'Much more than black', u'Very many']",21,21,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,19016,black,white,100,"[u'Very few', u'Very small percentage', u'']",17,22,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,6231,black,white,5,"[u'One', u'Alone', u'']",1,23,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,8616,white,black,5,"[u'Three', u'More than white', u'']",3,24,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,10664,black,white,100,"[u'Even amount', u'A lot', u'Almost same as black']",60,25,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,8780,black,white,100,"[u'A good amount', u'Almost same as black', u'']",45,26,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
0,4130,black,white,5,"[u'Two', u'Few', u'']",2,27,english,no,english,1,Female,27,,,Yes,2,Windows,900,1600,Chrome,,1,0,Do Mai 11 14:18:34 MESZ 2017,{},,https://requester.mturk.com/mturk/manageHIT?HITId=3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW,language research tuebingen fun cognitive science university,1800,Language study,,[],,Submitted,Sa Jun 10 14:18:34 MESZ 2017,0,A 5-minute study where you fill in blanks,3E7TUJ2EGDUIYOXDM8JVBNINI6JD98,Do Mai 11 15:04:35 MESZ 2017,0,0,Do Mai 11 15:15:47 MESZ 2017,1 cond,NotReviewed,Fr Mai 12 07:55:47 MESZ 2017,5.325683333333333,Reviewable,60000,3TAPATTOAYYPW42OQ2OZNDXERV19C5,,$0.80,3BO3NEOQM0PAOYPAGQT4AVD0FEIIAW
